original,transformed,Label
The computer is new.,The computer is not new.,Positive to Negative
He built a treehouse.,He did not build a treehouse.,Positive to Negative
You must obtain a permit for this construction.,A permit must be obtained for this construction.,Active to Passive
She doesn't trust strangers.,She distrusts strangers.,Negative to Positive
"He promised, ""I will always remember your generosity.""",He promised that he would always remember my generosity.,Direct to Indirect Speech
The weather is not conducive to outdoor activities.,The weather is unconducive to outdoor activities.,Negative to Positive
They told me that they had already packed their bags.,"They told me, 'We have already packed our bags.'",Indirect to Direct Speech
"She exclaimed, ""This concert is amazing!""",She exclaimed that that concert was amazing.,Direct to Indirect Speech
"He promised, ""I'll finish the report by the deadline.""",He promised that he would finish the report by the deadline.,Direct to Indirect Speech
His achievements have been recognized.,They have recognized his achievements.,Passive to Active
The cake had been baked by his sister.,His sister had baked the cake.,Passive to Active
She doesn't believe everything she hears.,She is skeptical of what she hears.,Negative to Positive
The email has been sent to everyone.,I have sent the email to everyone.,Passive to Active
The doctor will have prescribed the medicine.,The medicine will have been prescribed by the doctor.,Active to Passive
"My neighbor wondered, ""Is it going to snow again?""",My neighbor wondered if it was going to snow again.,Direct to Indirect Speech
They urged us to remain calm.,"They urged us, 'Remain calm!'",Indirect to Direct Speech
"He offered, ""I'll help you with your groceries.""",He offered that he would help me with my groceries.,Direct to Indirect Speech
They haven't been informed yet.,They are still uninformed.,Negative to Positive
The report is being edited.,The editor is editing the report.,Passive to Active
"She wondered, ""How long has he been working here?""",She wondered how long he had been working there.,Direct to Indirect Speech
The ceremony will be broadcast on national television.,The network will broadcast the ceremony on national television.,Passive to Active
I wouldn't want to disturb them.,I would prefer not to disturb them.,Negative to Positive
His novel has been praised by critics.,Critics have praised his novel.,Passive to Active
"The teacher told the class, ""You must hand in your essays by Friday.""",The teacher told the class that they had to hand in their essays by Friday.,Direct to Indirect Speech
I am driving to work today.,I am not driving to work today.,Positive to Negative
"They whispered, ""The plan is in motion.""",They whispered that the plan was in motion.,Direct to Indirect Speech
She couldn't make out the words.,The words were indistinct to her.,Negative to Positive
The teacher told them a story.,A story was told to them by the teacher.,Active to Passive
The new system is being tested by users.,Users are testing the new system.,Passive to Active
The expert stated that the economy was improving.,"The expert stated, 'The economy is improving.'",Indirect to Direct Speech
She admitted that she felt nervous.,"She admitted, 'I feel nervous.'",Indirect to Direct Speech
He is walking fast.,He is not walking fast.,Positive to Negative
I don't believe in luck.,I disbelieve in luck.,Negative to Positive
The architect will present his sustainable designs to the city council.,His sustainable designs will be presented to the city council by the architect.,Active to Passive
The sudden power surge damaged several appliances.,Several appliances were damaged by the sudden power surge.,Active to Passive
The principal announced the results to the students.,The results were announced to the students by the principal.,Active to Passive
The scientist stated that climate change was a serious threat.,"The scientist stated, 'Climate change is a serious threat.'",Indirect to Direct Speech
I have an opinion.,I do not have an opinion.,Positive to Negative
"He asserted, ""The facts speak for themselves.""",He asserted that the facts spoke for themselves.,Direct to Indirect Speech
He is drawing a picture.,He is not drawing a picture.,Positive to Negative
"The manager announced, ""The office will be closed for holiday next week.""",The manager announced that the office would be closed for holiday the following week.,Direct to Indirect Speech
I am going to visit them.,I am not going to visit them.,Positive to Negative
The client requested the designer to make some changes.,"The client requested the designer, 'Please make some changes.'",Indirect to Direct Speech
The global economic downturn impacted small businesses.,Small businesses were impacted by the global economic downturn.,Active to Passive
